2022-05-29 19:39:06,360 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.704/10.704/10.704/0.000 ms
2022-05-29 19:39:07,589 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.479/12.479/12.479/0.000 ms
2022-05-29 19:51:27,833 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.146/10.146/10.146/0.000 ms
2022-05-29 19:51:29,060 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.732/11.732/11.732/0.000 ms
2022-05-29 20:03:01,298 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 13.330/13.330/13.330/0.000 ms
2022-05-29 20:03:02,524 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 13.170/13.170/13.170/0.000 ms
2022-05-29 20:05:32,125 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.668/12.668/12.668/0.000 ms
2022-05-29 20:05:33,365 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.973/12.973/12.973/0.000 ms
2022-05-29 20:17:52,501 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.011/9.011/9.011/0.000 ms
2022-05-29 20:17:53,724 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.640/7.640/7.640/0.000 ms
2022-05-29 20:18:23,249 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.890/14.890/14.890/0.000 ms
2022-05-29 20:18:23,249 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.890/14.890/14.890/0.000 ms
2022-05-29 20:18:24,476 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.855/9.855/9.855/0.000 ms
2022-05-29 20:18:24,476 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.855/9.855/9.855/0.000 ms
2022-05-29 20:22:23,312 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 15.506/15.506/15.506/0.000 ms
2022-05-29 20:22:24,539 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.759/12.759/12.759/0.000 ms
2022-05-29 20:22:56,569 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.648/11.648/11.648/0.000 ms
2022-05-29 20:22:56,569 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.648/11.648/11.648/0.000 ms
2022-05-29 20:22:57,796 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.524/12.524/12.524/0.000 ms
2022-05-29 20:22:57,796 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.524/12.524/12.524/0.000 ms
2022-05-29 20:24:57,372 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 16.255/16.255/16.255/0.000 ms
2022-05-29 20:24:57,372 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 16.255/16.255/16.255/0.000 ms
2022-05-29 20:24:57,372 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 16.255/16.255/16.255/0.000 ms
2022-05-29 20:24:58,604 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.918/10.918/10.918/0.000 ms
2022-05-29 20:24:58,604 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.918/10.918/10.918/0.000 ms
2022-05-29 20:24:58,604 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.918/10.918/10.918/0.000 ms
2022-05-29 21:46:26,782 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.897/9.897/9.897/0.000 ms
